"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mfap5",149.434548257793,0.379204529533427,0.154013071973578,2.46215807966276,0.0138103782400198,0.534488196308458
"Zfas1",134.779375879802,0.452432508021917,0.18484956031698,2.44757145889926,0.0143822602483085,0.546118844334357
"Ppil4",38.1639159042676,-0.739130619840155,0.301614928017764,-2.45057704768719,0.0142627434487744,0.546118844334357
"Dtymk",236.0620814244,-0.324947646891245,0.134068335933761,-2.42374640237044,0.0153613283355987,0.55204773706058
"Nfib",248.524932264388,-0.276097242924164,0.113783911494745,-2.4265051121653,0.0152450355401388,0.55204773706058
"Actb",7164.65416842616,-0.14523353165071,0.0599080036584782,-2.42427593612788,0.0153389455861911,0.55204773706058
"Oaf",368.160546116728,0.254628156490152,0.104572566285525,2.43494221797057,0.014894167902174,0.55204773706058
"Hdac2",68.6821419428803,0.482137040223221,0.197997314011112,2.43506858985048,0.0148889671046703,0.55204773706058
"Clu",87.1701299703217,0.441591764759592,0.181847955774971,2.42835704629005,0.0151674031787022,0.55204773706058
"Gch1",61.2436405375889,-0.565877518869478,0.233944763556807,-2.41885097262316,0.0155696174692681,0.554581507201806
"Apbb1ip",69.0811350248671,-0.517057805686026,0.214615459655864,-2.40922907657784,0.0159862602725878,0.564427171904963
"Anapc13",133.046745907358,-0.362538239532114,0.151318873051313,-2.39585606356701,0.0165816003538783,0.574765271395079
"Dbn1",44.3604077657713,0.611263487151507,0.255144728722097,2.39575197266683,0.0165863096326084,0.574765271395079
"Ranbp1",951.086156620658,-0.168239932435578,0.07030259071575,-2.39308296782137,0.0167074625473849,0.574765271395079
"H2az2",378.303550352919,0.209164484137785,0.0876436796997257,2.38653243285083,0.017008107090887,0.580149415600171
"Tmem258",534.242457661096,-0.206848809777993,0.0871408568589383,-2.37372935307298,0.017609452806756,0.595613844934395
"Tmem9",80.6119228764911,0.430644668378985,0.182864780126165,2.35498967095724,0.0185232205711825,0.621299689991747
"Plin2",157.2557079942,0.320913278202906,0.136506067131388,2.35090853429998,0.0187276367231988,0.622964775296488
"Dnmt1",122.546507387518,0.367292770417835,0.157496346117237,2.33207169228187,0.0196969199483464,0.64983690813192
"Ube2m",372.058605662935,-0.213754577710041,0.0920851055873935,-2.32127200535354,0.0202721681332239,0.66146093014395
"Elob",1054.80299868359,-0.153489467263087,0.0661787740843578,-2.31931566256327,0.0203779267920124,0.66146093014395
"U2af1",290.746713382905,-0.24913036042172,0.107643483816296,-2.31440261490315,0.0206456475899916,0.663114040046364
"Mrpl21",107.648476906015,-0.411031455629696,0.177942210246755,-2.30991542175245,0.0208928370982293,0.663114040046364
"Eef1g",876.732379915306,-0.161627844034444,0.0699878748057497,-2.30936922264092,0.0209231013877983,0.663114040046364
"Mitd1",98.7389948596781,-0.416572207186426,0.181284786640786,-2.29788839375617,0.0215681420303666,0.667662417981893
"B2m",769.782000794706,0.201296709412678,0.0887508975687654,2.26810899863532,0.0233225640435826,0.667662417981893
"Dut",576.294617442851,-0.263944538097578,0.115010055669879,-2.29496922299729,0.0217348881471765,0.667662417981893
"Galk2",40.4209227701721,-0.699239088223913,0.30870347713828,-2.26508329192125,0.0235075687288216,0.667662417981893
"Pmvk",134.069176422597,-0.450694718507412,0.19868765656187,-2.26835791566683,0.0233074006109103,0.667662417981893
"Angptl7",176.443306463741,0.396816079907572,0.175185009464573,2.26512577257827,0.0235049624897328,0.667662417981893
